Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.9442239403214E-06,0.00531069109650709,0.0238395994341592,0,0,0,0.246843411085798,0.000192373271361537,5.22802381723286E-08,-1.57229969351522E-09,0.000335809102347398,-4.46875478080679E-06,0.000304475372386247,0,0,0,0,0,0,package://oldcar111/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://oldcar111/meshes/base_link.STL,,旋转台平板V2 2024SW.step-1;脉塔电机支架-2;脉塔电机支架-3,base_link_axes,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00527799246989458,0.00221512748377152,0.288992598715274,0,0,0,0.400617228197227,0.00118928752998524,-1.66580426187447E-07,-2.17440480522971E-05,0.00122553902236228,-7.86734443364385E-06,0.000207836332848072,0,0,0,0,0,0,package://oldcar111/meshes/link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://oldcar111/meshes/link1.STL,,脉塔连接关节-1;脉塔连接左-1;碳管_400mm-1;PP11连接关节-1;model_pp11.stp-1,1,axle1,1,revolute,0,-0.00419999972019724,0.054,-1.5707963267949,0,1.57030745170863,base_link,-1,0,0,0,0,-3.14,0,,,,,,,,
link2,-0.0289514418738021,-0.0539893815987094,0.285713893552422,0,0,0,0.230744553272649,0.00104956541855008,1.14186722095414E-07,-5.64519648302555E-07,0.00102697475255679,0.000180581630269562,0.000105441049477574,0,0,0,0,0,0,package://oldcar111/meshes/link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://oldcar111/meshes/link2.STL,,垫环打印件_1mm-1;PP11连接_2-1;碳管_400mm-2;PPO8连接关节-1;model_pp08.stp-2,2,axle2,2,revolute,-0.0190610592148176,0.0037785921272299,0.492983162251151,0,0,0,link1,1,0,0,0,0,-2.93,2.95,,,,,,,,
link3,0.0817348080152344,0.00631043308468887,0.0145304551130211,0,0,0,0.0824529162671332,2.52208026875665E-05,-9.38918528365317E-07,-2.15162295674946E-06,2.61838498056079E-05,-3.55367452857558E-06,1.95380039083763E-05,0,0,0,0,0,0,package://oldcar111/meshes/link3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://oldcar111/meshes/link3.STL,,PP08垫环打印件-1;PPO8连接_2-1;model_pp08.stp-3,3,axle3,3,continuous,-0.0634554958516763,-0.08466955254996,0.44806252567829,0,0,0,link2,-1,0,0,,,,,,,,,,,,
link4,0.00890807551218276,0.0130884602175348,0.0817401465685984,0,0,0,0.0824529142602831,2.46775716865345E-05,-4.53665204521974E-06,-1.32319484330853E-06,2.10766289984127E-05,-1.92999691209014E-06,2.5188455562489E-05,0,0,0,0,0,0,package://oldcar111/meshes/link4.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://oldcar111/meshes/link4.STL,,PPO8连接_2-2;PP08垫环打印件-2;model_pp08.stp-4,4,axle4,4,continuous,0.0867019191362518,-0.00673445031368503,-0.0154894931182463,-0.40986791242469,-0.000123856296620052,0,link3,0,0,-1,,,,,,,,,,,,
link5,0.105186720073894,0.00235968914936002,-0.0022246606375701,0,0,0,0.174467238698695,0.000154343896810332,-1.98935759843775E-06,1.86240133131484E-06,0.000103856592098492,-3.22519277835911E-05,9.91083108892448E-05,0,0,0,0,0,0,package://oldcar111/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://oldcar111/meshes/link5.STL,,123-1/爪零件4-1;123-1/零件1-1;123-1/滑块载体-1;123-1/a-1;123-1/零件7-1;123-1/法兰齿轮-1,5,axle5,5,continuous,-0.00950565079420626,-0.0139732817540251,0.0866999999999829,1.5703914601342,0,0.973432793021899,link4,-1,0,0,,,,,,,,,,,,
linkzhua1,-0.00450736179791811,-0.000673663938952296,0.00380318250475943,0,0,0,0.0276498547531941,6.62112429571255E-06,1.23049107146354E-07,5.68457369224247E-07,7.500189084869E-06,-1.12447985360647E-06,7.54576526882826E-06,0,0,0,0,0,0,package://oldcar111/meshes/linkzhua1.STL,1,1,1,1,0,0,0,0,0,0,package://oldcar111/meshes/linkzhua1.STL,,123-1/齿条-2;123-1/爪2-2;123-1/导轨滑块2-1,z1,zhua1,zhua1,prismatic,0.155699999999986,0.00826760283319106,0.00912539690176883,2.27424838462147,-0.821045734463187,1.57079632679491,link5,-1,0,0,0,0,-0.06,0,,,,,,,,
linkzhua2,0.00123526659265605,0.00575362909473481,-0.000479857152509387,0,0,0,0.0276496025259502,7.69978326990058E-06,-8.08090839029367E-07,4.82144588161451E-07,6.78857023532845E-06,-8.83092307840954E-07,7.17860180138716E-06,0,0,0,0,0,0,package://oldcar111/meshes/linkzhua2.STL,1,1,1,1,0,0,0,0,0,0,package://oldcar111/meshes/linkzhua2.STL,,123-1/导轨滑块1-1;123-1/齿条-1;123-1/爪2-1,z2,zhua2,zhua2,prismatic,0.155700001466271,-0.00839043372952131,-0.00901101641300339,2.12843991961849,-0.226127160063763,1.91590207174177,link5,0.789038133883824,0.605176450061446,-0.105736878940877,0,0,-0.06,0,,,,,,,,
